Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Duration,Job-Level,Languages,URL,Description_Tokenized,Duration_Tokenized,Job_Level_Tokenized,Languages_Tokenized
Accounts Receivable Simulation (New),yes,No,S,Simulated data entry test that measures the ability to process receivables and invoices.,8 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,"['Simulated', 'data', 'entry', 'test', 'that', 'measures', 'the', 'ability', 'to', 'process', 'receivables', 'and', 'invoices.']","['8', 'minutes']","['Entry-Level', ',', 'Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
ADO.NET (New),yes,No,K,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",10 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'on', 'the', 'concepts', 'of', 'ADO.NET', 'architecture,', 'components', 'and', 'data', 'provider', 'objects.']","['10', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Adobe Experience Manager (New),yes,No,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",17 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'AEM', 'components,', 'templates,', 'workflows,', 'AEM', 'collections,', 'OSGi', 'services', 'and', 'troubleshooting', 'of', 'AEM', 'projects.']","['17', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Adobe Photoshop CC,yes,yes,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",20 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,"['The', 'Adobe', 'Photoshop', 'CC', 'test', 'measures', 'knowledge', 'of', 'Adobe', 'Photoshop', 'CC.', 'Designed', 'for', 'experienced', 'users,', 'this', 'test', 'covers', 'the', 'following', 'topics:', '3D,', 'Color,', 'File', 'Management,', 'Interface,', 'Layers,', 'Painting', 'and', 'Drawing,', 'Retouch', 'and', 'Enhancements,', 'Selection,', 'Text,', 'and', 'Web.']","['20', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Aeronautical Engineering (New),yes,No,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",10 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'flight', 'mechanics,', 'space', 'dynamics,', 'aerodynamics,', 'structures', 'and', 'propulsion.']","['10', 'minutes']","['Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Aerospace Engineering (New),yes,No,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",10 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'conceptual', 'knowledge', 'of', 'aerodynamics,', 'aircraft', 'systems', 'and', 'instrumentation,', 'flight', 'dynamics,', 'space', 'dynamics', 'and', 'avionics.']","['10', 'minutes']","['Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Agile Software Development,yes,No,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7 minutes,"Graduate,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'agile', 'methodology,', 'scrum,', 'feature', 'driven', 'software', 'development,', 'incremental', 'and', 'iterative', 'development', 'and', 'processes', 'involved', 'in', 'agile', 'software', 'development.']","['7', 'minutes']","['Graduate', ',']","['English', '(', 'USA', ')', ',']"
Agile Testing (New),yes,No,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",13 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'tools,', 'techniques', 'and', 'processes', 'involved', 'in', 'the', 'Agile', 'testing', 'methodology.']","['13', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
AI Skills,yes,No,P,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,16 minutes,"General Population,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,"['The', 'AI', 'Skills', 'assessment', 'measures', 'the', 'skills', 'that', 'help', 'candidates', 'successfully', 'leverage', 'AI', 'in', 'their', 'work.']","['16', 'minutes']","['General', 'Population', ',']","['English', '(', 'USA', ')', ',']"
Amazon Web Services (AWS) Development (New),yes,No,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",6 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'AWS', 'delivery', 'process,', 'monitoring,', 'metrics,', 'logging,', 'security,', 'validation', 'and', 'scalability.']","['6', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Android Development (New),yes,No,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",7 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'UI', 'components', 'for', 'an', 'Android', 'device,', 'services', 'and', 'alerts,', 'animation', 'and', 'media', 'apps,', 'application', 'components,', 'security', 'and', 'testing.']","['7', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Angular 6 (New),yes,No,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",11 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'the', 'basic', 'components', 'and', 'modules', 'of', 'Angular', '6', 'and', 'concepts', 'like', 'data', 'binding,', 'dependency', 'injection,', 'CRUD', 'with', 'HTTP,', 'typescript,', 'routing', 'and', 'navigation.']","['11', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
AngularJS (New),yes,No,K,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",9 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'AngularJS', 'architecture,', 'forms,', 'directives,', 'filters,', 'controllers,', 'routing', 'and', 'testing.']","['9', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Apache Hadoop (New),yes,No,K,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",7 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'basic', 'concepts', 'of', 'Hadoop,', 'commands,', 'HDFS', 'and', 'MapReduce.']","['7', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Apache Hadoop Extensions (New),yes,No,K,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",9 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'conceptual', 'knowledge', 'of', 'Pig,', 'Hive', 'and', 'HBase.']","['9', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Apache HBase (New),yes,No,K,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'HBase', 'concepts', 'such', 'as', 'CAP', 'theorem,', 'ACID', 'properties,', 'HBase', 'client', 'API,', 'MapReduce', 'integration,', 'configuration', 'and', 'administration.']","['5', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Apache Hive (New),yes,No,K,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'Hive', 'architecture,', 'datatypes,', 'built-in', 'functions,', 'configurations,', 'partitioning,', 'bucketing', 'and', 'commands', 'of', 'Hive', 'query', 'language.']","['5', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Apache Kafka (New),yes,No,K,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",6 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'Apache', 'Kafka', 'architecture,', 'components,', 'clusters,', 'performance', 'tuning', 'and', 'advanced', 'operations.']","['6', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Apache Pig (New),yes,No,K,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",6 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'Pig', 'architecture,', 'built-in', 'operators,', 'built-in', 'functions', 'and', 'commands', 'in', 'PigLatin.']","['6', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Apache Spark (New),yes,No,K,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",8 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'Apache', 'Spark', 'principles,', 'RDD', 'operations', '-', 'actions', 'and', 'transformations,', 'lineage', 'graphs', 'and', 'lazy', 'evaluation.']","['8', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
ASP .NET with C# (New),yes,No,K,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",13 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', '.NET', 'framework', 'and', 'controls,', 'C#', 'fundamentals,', 'OOPs', 'concepts', 'and', 'advanced', 'topics', 'such', 'as', 'data', 'access', 'components,', 'state', 'management', 'and', 'security', 'services.']","['13', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
ASP.NET 4.5,yes,yes,K,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",30 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,"['The', 'ASP.NET', '4.5', 'test', 'measures', 'knowledge', 'of', 'programming', 'in', 'the', 'ASP.NET', 'environment.', 'Designed', 'for', 'experienced', 'developers,', 'but', 'an', 'average', 'performer', 'in', 'this', 'role', 'should', 'pass', 'this', 'test.', 'This', 'test', 'includes', 'the', 'following', 'topics:', '.NET', 'Framework,', 'Client-Side', 'Programming,', 'Data', 'Access,', 'Enhanced', 'Runtime', 'Features,', 'Portals,', 'Services', 'and', 'Mobile,', 'Security,', 'Troubleshooting', 'and', 'Optimization,', 'Web', 'Applications,', 'and', 'Web', 'Forms.']","['30', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Assessment and Development Center Exercises,yes,No,E,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.",nan minutes,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, English (USA),",https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,"['SHL', 'offers', 'a', 'comprehensive', 'range', 'of', 'Assessment', 'and', 'Development', 'Centre', 'exercise', 'in', 'digital', 'format,', 'for', 'remote', 'assessment', 'through', 'our', 'Virtual', 'Assessment', 'and', 'Development', 'Centre', 'platform.We', 'offer', 'a', 'wide', 'range', 'of', 'exercise', 'types', 'including', 'group', 'exercise,', 'role', 'plays,', 'analysis', 'presentations', 'and', 'written', 'exercises.Exercises', 'are', 'available', 'across', 'a', 'wide', 'range', 'of', 'job', 'levels', 'and', 'industry', 'contexts.Contact', 'SHL', 'to', 'find', 'out', 'more.']","['nan', 'minutes']","['Director', ',', 'Entry-Level', ',', 'Executive', ',', 'Front', 'Line', 'Manager', ',', 'General', 'Population', ',', 'Graduate', ',', 'Manager', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',', 'Supervisor', ',']","['English', 'International', ',', 'English', '(', 'USA', ')', ',']"
Automata - Fix (New),yes,No,S,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",20 minutes,"Mid-Professional,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,"['A', 'simulated', 'compiler', 'integrated', 'test', 'to', 'measure', 'debugging', 'skills', 'in', 'C,', 'C++', 'and', 'Java.', 'The', 'test', 'checks', 'the', 'ability', 'to', 'fix', 'logical', 'or', 'syntactical', 'errors', 'and', 'to', 'reuse', 'an', 'existing', 'code.Your', 'use', 'of', 'this', 'assessment', 'product', 'may', 'be', 'subject', 'to', 'New', 'York', 'City', 'Law', '144', '(Regulation', 'of', 'the', 'Use', 'of', 'Automated', 'Employment', 'Decision', 'Tools)', '(dated', 'July', '5,', '2023).', 'Compliance', 'with', 'Law', '144', 'is', 'your', 'responsibility.', 'Read', 'more', 'on', 'https://www.shl.com/legal/shl-us-regulatory-compliance/']","['20', 'minutes']","['Mid-Professional', ',']","['English', '(', 'USA', ')', ',']"
Automata - SQL (New),yes,No,S,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",30 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,"['A', 'simulated', 'query', 'writing', 'test', 'that', 'measures', 'the', 'ability', 'to', 'write', 'SQL', 'queries', 'to', 'perform', 'DDL,', 'DML', 'and', 'DCL', 'tasks.']","['30', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Automata (New),yes,No,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",45 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/automata-new/,"['An', 'AI-powered', 'coding', 'simulation', 'assessment', 'that', 'evaluates', 'candidate’s', 'programming', 'ability.', 'Offers', 'a', 'familiar', 'IDE', 'environment', 'available', 'in', 'over', '40', 'different', 'programming', 'languages', 'and', 'tests', 'candidates', 'using', 'real-world', 'coding', 'problems.Your', 'use', 'of', 'this', 'assessment', 'product', 'may', 'be', 'subject', 'to', 'New', 'York', 'City', 'Law', '144', '(Regulation', 'of', 'the', 'Use', 'of', 'Automated', 'Employment', 'Decision', 'Tools)', '(dated', 'July', '5,', '2023).', 'Compliance', 'with', 'Law', '144', 'is', 'your', 'responsibility.', 'Read', 'more', 'on', 'https://www.shl.com/legal/shl-us-regulatory-compliance/']","['45', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Automata Data Science (New),yes,No,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,60 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,"['A', 'simulated', 'test', 'that', 'measures', 'the', 'ability', 'to', 'analyze', 'and', 'modify', 'data', 'using', 'machine', 'learning', 'algorithms', 'to', 'obtain', 'desirable', 'results.']","['60', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Automata Data Science Pro (New),yes,No,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,60 minutes,"Professional Individual Contributor, Mid-Professional,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,"['A', 'simulated', 'test', 'that', 'measures', 'the', 'ability', 'to', 'analyze', 'and', 'modify', 'data', 'using', 'machine', 'learning', 'algorithms', 'to', 'obtain', 'desirable', 'results.']","['60', 'minutes']","['Professional', 'Individual', 'Contributor', ',', 'Mid-Professional', ',']","['English', '(', 'USA', ')', ',']"
